Row Number,MAC Address,Channel Name,Partial Service,Frequency (MHz),Modulation,Status,Tx Power (dBmV),Rx Power (dBmV),Attenuation (dB),MER (dB),SNR (dB),SNR Deviation (σ),CCER+CER (%),CER (%),Spectral Response (dB),Composite Equalization [NMTER] (dB),Group Response [PREMTTER] (dB),Echo Response [POSTMTTER] (dB),Deviation of Echo Response (σ),Latest Proactive Scan,Latest Outage Scan
1529,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream3,none,621,QAM-256,Online,N/A,2.9,N/A,40.4,40.4,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1530,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,2.8,N/A,40.4,40.4,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1531,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream5,none,633,QAM-256,Online,N/A,2.8,N/A,40.4,40.4,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1532,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream6,none,639,QAM-256,Online,N/A,2.8,N/A,40.4,40.4,0.1,0,0,28,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1533,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,2.8,N/A,40.4,40.4,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1534,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream9,none,657,QAM-256,Online,N/A,2.8,N/A,40.4,40.4,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1535,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream11,none,669,QAM-256,Online,N/A,2.7,N/A,40.4,40.4,0.1,0,0,28,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1536,3C:B7:4B:54:8D:4C,Integrated-Cable1/0/3-downstream28,none,819,QAM-256,Online,N/A,2,N/A,40.4,40.4,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1537,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream1,none,609,QAM-256,Online,N/A,2.4,N/A,40.4,40.4,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1538,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream2,none,615,QAM-256,Online,N/A,2.3,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1539,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream3,none,621,QAM-256,Online,N/A,2.4,N/A,40.4,40.4,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1540,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,2.3,N/A,40.4,40.4,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1541,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream5,none,633,QAM-256,Online,N/A,2.2,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1542,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream6,none,639,QAM-256,Online,N/A,2.2,N/A,40.4,40.4,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1543,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,2.2,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1544,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream9,none,657,QAM-256,Online,N/A,2.3,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1545,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,2.3,N/A,40.4,40.4,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1546,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream11,none,669,QAM-256,Online,N/A,2.4,N/A,40.5,40.4,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1547,44:05:3F:63:58:5D,Integrated-Cable1/0/3-downstream31,none,837,QAM-256,Online,N/A,2.2,N/A,40.4,40.4,0,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1548,98:9D:5D:54:52:9C,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,5.4,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1549,98:9D:5D:54:52:9C,Integrated-Cable1/0/3-downstream3,none,621,QAM-256,Online,N/A,5.5,N/A,40.4,40.4,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1550,98:9D:5D:54:52:9C,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,5.2,N/A,40.4,40.4,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1551,98:9D:5D:54:52:9C,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,5.7,N/A,40.4,40.4,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1552,98:9D:5D:54:52:9C,Integrated-Cable1/0/3-downstream8,none,651,QAM-256,Online,N/A,5.9,N/A,40.4,40.4,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1553,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,10.7,N/A,40.3,40.4,0.1,0,0,28,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1554,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,10.8,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1555,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream8,none,651,QAM-256,Online,N/A,10.6,N/A,40.3,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1556,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream9,none,657,QAM-256,Online,N/A,10.6,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1557,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,10.7,N/A,40.4,40.4,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1558,98:77:E7:38:77:34,Integrated-Cable1/0/3-downstream13,none,681,QAM-256,Online,N/A,10.7,N/A,40.4,40.4,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1559,08:7E:64:92:42:AC,Integrated-Cable1/0/3-downstream20,none,723,QAM-256,Online,N/A,-3,N/A,40.3,40.4,0,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1560,08:7E:64:92:42:AC,Integrated-Cable1/0/3-downstream22,none,735,QAM-256,Online,N/A,-3,N/A,40.5,40.4,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1561,08:7E:64:92:42:AC,Integrated-Cable1/0/3-downstream23,none,741,QAM-256,Online,N/A,-2.9,N/A,40.5,40.4,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1562,08:7E:64:92:42:AC,Integrated-Cable1/0/3-downstream27,none,813,QAM-256,Online,N/A,-3,N/A,40.4,40.4,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1563,44:D4:54:A0:E1:47,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,9.8,N/A,40.2,40.3,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1564,44:D4:54:A0:E1:47,Integrated-Cable1/0/3-downstream13,none,681,QAM-256,Online,N/A,9.9,N/A,40.4,40.3,0.2,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1565,44:D4:54:A0:E1:47,Integrated-Cable1/0/3-downstream29,none,825,QAM-256,Online,N/A,9.9,N/A,40.3,40.3,0.2,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1566,44:D4:54:A0:E1:47,Integrated-Cable1/0/3-downstream31,none,837,QAM-256,Online,N/A,9.9,N/A,40.2,40.3,0.2,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1567,84:1E:A3:8F:39:46,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,12,N/A,40.2,40.3,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1568,84:1E:A3:8F:39:46,Integrated-Cable1/0/3-downstream22,none,735,QAM-256,Online,N/A,13.1,N/A,40.5,40.3,0.1,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1569,E4:C0:E2:13:05:4E,Integrated-Cable1/0/3-downstream22,none,735,QAM-256,Online,N/A,7.1,N/A,40.3,40.3,0.1,0,0,19,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1570,E4:C0:E2:13:05:4E,Integrated-Cable1/0/3-downstream25,none,801,QAM-256,Online,N/A,7.1,N/A,40.3,40.3,0.1,0,0,24,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1571,E4:C0:E2:13:05:4E,Integrated-Cable1/0/3-downstream27,none,813,QAM-256,Online,N/A,7,N/A,40.3,40.3,0.1,0,0,25,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1572,58:2F:F7:0B:38:8A,Integrated-Cable1/0/0-downstream2,none,615,QAM-256,Online,N/A,-5.2,N/A,40.4,40.3,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1573,58:2F:F7:0B:38:8A,Integrated-Cable1/0/0-downstream9,none,657,QAM-256,Online,N/A,-5.8,N/A,40.3,40.3,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1574,58:2F:F7:0B:38:8A,Integrated-Cable1/0/0-downstream11,none,669,QAM-256,Online,N/A,-5.9,N/A,40.3,40.3,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1575,58:2F:F7:0B:38:8A,Integrated-Cable1/0/0-downstream13,none,681,QAM-256,Online,N/A,-5.9,N/A,40.3,40.3,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1576,3C:B7:4B:42:40:6C,Integrated-Cable1/0/3-downstream14,none,687,QAM-256,Online,N/A,-3,N/A,40.3,40.3,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1577,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,6.9,N/A,40.2,40.3,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1578,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream1,none,609,QAM-256,Online,N/A,6.9,N/A,40.2,40.3,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1579,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,7,N/A,40.4,40.3,0.1,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1580,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream5,none,633,QAM-256,Online,N/A,6.9,N/A,40.2,40.3,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1581,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream6,none,639,QAM-256,Online,N/A,7,N/A,40.2,40.3,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1582,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,7.1,N/A,40.3,40.3,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1583,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream8,none,651,QAM-256,Online,N/A,7.1,N/A,40.3,40.3,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1584,D0:CF:0E:E4:A9:F9,Integrated-Cable1/0/3-downstream9,none,657,QAM-256,Online,N/A,7.3,N/A,40.3,40.3,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1585,54:47:CC:50:31:2A,Integrated-Cable1/0/3-downstream1,none,609,QAM-256,Online,N/A,0.8,N/A,40.2,40.3,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1586,54:47:CC:50:31:2A,Integrated-Cable1/0/3-downstream2,none,615,QAM-256,Online,N/A,0.8,N/A,40.3,40.3,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1587,8C:FD:DE:94:13:8A,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,5.7,N/A,40.2,40.3,0.5,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1588,8C:FD:DE:94:13:8A,Integrated-Cable1/0/3-downstream15,none,693,QAM-256,Online,N/A,4.9,N/A,40.3,40.3,0.5,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1589,8C:FD:DE:94:13:8A,Integrated-Cable1/0/3-downstream17,none,705,QAM-256,Online,N/A,5.3,N/A,40.3,40.3,0.5,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1590,8C:FD:DE:94:13:8A,Integrated-Cable1/0/3-downstream18,none,711,QAM-256,Online,N/A,5.4,N/A,40.3,40.3,0.4,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1591,8C:FD:DE:94:13:8A,Integrated-Cable1/0/3-downstream19,none,717,QAM-256,Online,N/A,5.5,N/A,40.3,40.3,0.5,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1592,F8:2D:C0:C1:F2:AD,Integrated-Cable1/0/3-downstream25,none,801,QAM-256,Online,N/A,10.3,N/A,40.3,40.3,0,0,0,26,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1593,F8:2D:C0:C1:F2:AD,Integrated-Cable1/0/3-downstream26,none,807,QAM-256,Online,N/A,10.1,N/A,40.3,40.3,0,0,0,28,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1594,6C:BA:B8:ED:A4:49,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,2.7,N/A,40.3,40.3,0.1,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1595,6C:BA:B8:ED:A4:49,Integrated-Cable1/0/3-downstream30,none,831,QAM-256,Online,N/A,1.7,N/A,40.3,40.3,0.1,0.0001,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1596,D0:57:94:75:03:37,Integrated-Cable1/0/0-downstream4,none,627,QAM-256,Online,N/A,-3.4,N/A,40.3,40.3,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1597,D0:57:94:75:03:37,Integrated-Cable1/0/0-downstream9,none,657,QAM-256,Online,N/A,-3.4,N/A,40.3,40.3,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1598,D0:57:94:75:03:37,Integrated-Cable1/0/0-downstream11,none,669,QAM-256,Online,N/A,-3.4,N/A,40.3,40.3,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1599,D0:57:94:75:03:37,Integrated-Cable1/0/0-downstream20,none,723,QAM-256,Online,N/A,-3.3,N/A,40.4,40.3,0.1,0.0093,0.0073,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1600,D0:57:94:75:03:37,Integrated-Cable1/0/0-downstream22,none,735,QAM-256,Online,N/A,-3.8,N/A,40.3,40.3,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1601,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,2.6,N/A,40.3,40.3,0.2,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1602,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream1,none,609,QAM-256,Online,N/A,2.6,N/A,40.2,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1603,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream2,none,615,QAM-256,Online,N/A,2.8,N/A,40.2,40.3,0.2,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1604,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream3,none,621,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1605,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream4,none,627,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1606,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream5,none,633,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1607,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream6,none,639,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1608,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1609,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream9,none,657,QAM-256,Online,N/A,2.8,N/A,40.3,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1610,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,2.9,N/A,40.3,40.3,0.2,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1611,84:01:12:33:A3:E7,Integrated-Cable1/0/3-downstream11,none,669,QAM-256,Online,N/A,3,N/A,40.3,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1612,38:3F:B3:E3:44:74,Integrated-Cable1/0/3-downstream13,none,681,QAM-256,Online,N/A,-1.8,N/A,40.3,40.3,0,0.0001,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1613,BC:2E:48:F8:E1:BC,Integrated-Cable1/0/3-downstream15,none,693,QAM-256,Online,N/A,6,N/A,40.3,40.3,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1614,6C:55:E8:C1:0C:C4,Integrated-Cable1/0/3-downstream12,none,675,QAM-256,Online,N/A,5.2,N/A,40.4,40.3,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1615,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream3,none,621,QAM-256,Online,N/A,4.3,N/A,40.1,40.3,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1616,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream4,none,627,QAM-256,Online,N/A,4.3,N/A,40.2,40.3,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1617,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream8,none,651,QAM-256,Online,N/A,4.7,N/A,40.3,40.3,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1618,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream11,none,669,QAM-256,Online,N/A,4.8,N/A,40.4,40.3,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1619,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream30,none,831,QAM-256,Online,N/A,3.9,N/A,40.2,40.3,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1620,58:2F:F7:95:C2:D6,Integrated-Cable1/0/0-downstream31,none,837,QAM-256,Online,N/A,3.9,N/A,40.3,40.3,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1621,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,4.2,N/A,40.3,40.3,0.2,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1622,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream5,none,633,QAM-256,Online,N/A,4.2,N/A,40.3,40.3,0.2,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1623,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,4,N/A,40.3,40.3,0.2,0,0,24,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1624,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream8,none,651,QAM-256,Online,N/A,3.8,N/A,40.2,40.3,0.2,0,0,27,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1625,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream10,none,663,QAM-256,Online,N/A,3.6,N/A,40.2,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1626,6C:99:61:F0:1F:A3,Integrated-Cable1/0/3-downstream29,none,825,QAM-256,Online,N/A,3.1,N/A,40.4,40.3,0.2,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1627,5C:76:95:4A:DA:F4,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,5.6,N/A,40.2,40.3,0.4,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1628,5C:76:95:4A:DA:F4,Integrated-Cable1/0/3-downstream7,none,645,QAM-256,Online,N/A,5.8,N/A,40.3,40.3,0.4,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1629,5C:76:95:4A:DA:F4,Integrated-Cable1/0/3-downstream13,none,681,QAM-256,Online,N/A,5.6,N/A,40.3,40.3,0.4,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1630,5C:76:95:4A:DA:F4,Integrated-Cable1/0/3-downstream26,none,807,QAM-256,Online,N/A,4.1,N/A,40.2,40.3,0.3,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1631,18:34:AF:D1:1C:7D,Integrated-Cable1/0/3-downstream8,none,651,QAM-256,Online,N/A,1.8,N/A,40.4,40.3,0.1,0,0,36,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
1632,8C:FD:DE:93:9F:D2,Integrated-Cable1/0/3-downstream0,none,603,QAM-256,Online,N/A,7,N/A,40.3,40.3,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
